koerpergroesse,alter,zugkraft,drehmoment,drehwinkel,zeitstempel
175,30,170.62,8.53,90.21,13:21:26
175,30,166.82,8.41,88.59,13:21:30
175,30,153.80,7.75,89.47,13:21:34
175,30,160.21,7.75,89.60,13:21:39
175,30,167.48,8.07,88.80,13:21:43
175,30,152.43,8.44,88.64,13:21:47
175,30,171.86,6.59,130.46,13:21:51
175,30,197.80,8.86,117.28,13:21:55
175,30,171.59,7.71,116.89,13:22:0
175,30,125.43,7.68,117.38,13:22:4
175,30,157.27,5.60,117.55,13:22:8
175,30,196.21,8.79,117.28,13:22:12
175,30,180.04,8.11,116.63,13:22:16
175,30,136.76,6.13,117.20,13:22:20
175,30,142.53,6.08,118.02,13:22:24
175,30,170.53,6.36,117.75,13:22:28
175,30,180.04,7.96,118.74,13:22:32
175,30,159.75,7.17,117.11,13:22:37
175,30,160.90,7.22,117.12,13:22:41
175,30,165.74,7.23,116.85,13:22:45
